-157.94173,21.38618,"McDonalds-Aiea,HI","98/1005 Moanalua Rd [Mall], Aiea,HI, (808) 483-4745"
-157.94359,21.38198,"McDonalds-Aiea,HI","98/147 Kamehameha Hwy, Aiea,HI, (808) 483-1785"
-157.93034,21.37902,"McDonalds-Aiea,HI","99/115 Aiea Heights Dr, Aiea,HI, (808) 483-4759"
-159.586195,21.902605,"McDonalds-Eleele,HI","4469 Waialo Rd, Eleele,HI, (808) 335-0301"
-158.01347,21.31731,"McDonalds-Ewa Beach,HI","91/919 Fort Weaver Rd, Ewa Beach,HI, (808) 689-8787"
-158.10513,21.58144,"McDonalds-Haleiwa,HI","66/457 Kamehameha Hwy, Haleiwa,HI, (808) 637-6106"
-155.066,19.69021,"McDonalds-Hilo,HI","2100 Kanoelehua Ave, Hilo,HI 96720, (808) 959-6462"
-155.087606,19.722932,"McDonalds-Hilo,HI","255 Kinoole St, Hilo,HI 96720, (808) 935-9092"
-155.061799,19.69928,"McDonalds [WM]-Hilo,HI","325 E Makaala St [WM], Hilo,HI 96740, (808) 934-7200"
-157.84656,21.30262,"McDonalds-Honolulu,HI","1055 S Beretania St, Honolulu,HI, (808) 532-1588"
-157.86102,21.30988,"McDonalds-Honolulu,HI","1101 Fort Street Mall, Honolulu,HI, (808) 532-1596"
-157.87601,21.32413,"McDonalds-Honolulu,HI","1414 Dillingham Blvd, Honolulu,HI, (808) 832-0735"
-157.84276,21.28956,"McDonalds-Honolulu,HI","1450 Ala Moana Blvd [Mall], Honolulu,HI, (808) 973-2351"
-157.86859,21.33525,"McDonalds-Honolulu,HI","1620 N School St, Honolulu,HI, (808) 832-2655"
-157.83815,21.28521,"McDonalds-Honolulu,HI","1778 Ala Moana Blvd, Honolulu,HI, (808) 973-2354"
-157.88589,21.32733,"McDonalds-Honolulu,HI","2121 N Nimitz Hwy, Honolulu,HI, (808) 832-0740"
-157.82867,21.29418,"McDonalds-Honolulu,HI","2121 S King St, Honolulu,HI, (808) 973-2357"
-157.82748,21.28037,"McDonalds-Honolulu,HI","2237 Kuhio Ave, Honolulu,HI, (808) 971-1771"
-157.82419,21.27465,"McDonalds-Honolulu,HI","2476 Kalakaua Ave, Honolulu,HI, (808) 971-1766"
-157.81006,21.30975,"McDonalds-Honolulu,HI","2915 E Manoa Rd, Honolulu,HI, (808) 988-2219"
-157.80696,21.28688,"McDonalds-Honolulu,HI","3254 Waialae Ave, Honolulu,HI, (808) 733-1540"
-157.85599,21.29614,"McDonalds-Honolulu,HI","333 Ward Ave, Honolulu,HI, (808) 592-4714"
-157.70747,21.28579,"McDonalds-Honolulu,HI","377 Keahole St, Honolulu,HI, (808) 395-9844"
-157.92805,21.34409,"McDonalds-Honolulu,HI","414 N School St, Honolulu,HI, (808) 532-1590"
-157.92911,21.36511,"McDonalds-Honolulu,HI","4561 Salt Lake Blvd, Honolulu,HI, (808) 483-4750"
-157.78522,21.27506,"McDonalds-Honolulu,HI","4618 Kilauea Ave, Honolulu,HI, (808) 733-1544"
-157.93257,21.34888,"McDonalds-Honolulu,HI","4725 Bougainville Dr [Military], Honolulu,HI, (808) 422-8119"
-157.9131,21.34492,"McDonalds-Honolulu,HI","848 Ala Lilikoi St, Honolulu,HI, (808) 831-4820"
-157.945059,21.349652,"McDonalds-Honolulu,HI","881 Fredrick St [Military], Honolulu,HI, (808) 422-2795"
-157.84077,21.29758,"McDonalds-Honolulu,HI","910 Keeaumoku St, Honolulu,HI, (808) 973-2361"
-157.92973,21.34072,"McDonalds PlayPlace-Honolulu,HI","928 Valkenburg St, Honolulu,HI, (808) 423-9695"
-157.7536,21.2845,"McDonalds-Honolulu,HI","Aina Haina Shopping Center, Honolulu,HI 96821, (808) 377-5101"
-156.455391,20.877892,"McDonalds [WM]-Kahului,HI","101 Pakaula St [WM], Kahului,HI, (808) 877-53435"
