-157.9477094,21.3906341,"BurgerKing-Aiea,HI","98/1005 Moanalua Rd, Aiea,HI, (808) 483-9333"
-158.01315,21.31728,"BurgerKing-Ewa Beach,HI","91/914 Fort Weaver Rd, Ewa Beach,HI, (818) 689-1515"
-157.7019881,21.2962334,"BurgerKing-Hawaii Kai,HI","Hawaii Kai Towne Center, Hawaii Kai,HI, (808) 395-4492"
-157.950613,21.342137,"BurgerKing-Hickam Afb,HI","Hickam Afb Blgd 2096, Hickam Afb,HI, (808) 422-5965"
-155.060899,19.698701,"BurgerKing-Hilo,HI","368 A East Makaala St, Hilo,HI, (808) 920-8188"
-155.08102,19.71828,"BurgerKing-Hilo,HI","580 Kilauea Ave, Hilo,HI, (808) 935-7663"
-157.9201538,21.3327565,"BurgerKing-Honolulu,HI","300 Rogers Blvd, Honolulu,HI, (808) 834-7610"
-157.875812,21.356169,"BurgerKing-Honolulu,HI","Ft Shafter, Honolulu,HI"
-157.921418,21.332898,"BurgerKing-Honolulu,HI","Honolulu International Airport, Honolulu,HI, (808) 836-2566"
-157.8583333,21.3069444,"BurgerKing-Honolulu,HI","Honolulu International Airport Dia, Honolulu,HI"
-157.91766,21.36072,"BurgerKing-Honolulu,HI","Aliamanu Dr Bldg 878, Honolulu,HI, (808) 833-0588"
-157.87697,21.32457,"BurgerKing-Honolulu,HI","1505 Dillingham Blvd #D, Honolulu,HI, (808) 845-0695"
-157.84637,21.30284,"BurgerKing-Honolulu,HI","1056 S Beretania St, Honolulu,HI, (808) 533-0600"
-157.82524,21.27699,"BurgerKing-Honolulu,HI","131 Kaiulani Ave King's Village Shopping Ctr, Honolulu,HI, (808) 922-3912"
-157.82254,21.29264,"BurgerKing-Honolulu,HI","2536 S Beretania St, Honolulu,HI, (808) 973-1630"
-156.46736,20.89153,"BurgerKing-Kahului,HI","6 N Puunene Ave, Kahului,HI, (808) 877-5449"
-156.45508,20.88123,"BurgerKing-Kahului,HI","270 Dairy Rd, Kahului,HI, (808) 871-6859"
-155.99507,19.6433,"BurgerKing-Kailua Kona,HI","75/5597 Palani Rd, Kailua Kona,HI, (808) 326-2050"
-157.74892,21.42283,"BurgerKing-Kailua,HI","25 Kaneohe Bay Dr, Kailua,HI, (808) 254-2739"
-157.8,21.40202,"BurgerKing-Kaneohe,HI","45/630 Kamehameha Hwy, Kaneohe,HI, (808) 233-4646"
-159.319822,22.069332,"BurgerKing-Kapaa,HI","1105 Kuhio Hwy #E20, Kapaa,HI, (808) 822-2083"
-158.07852,21.33858,"BurgerKing-Kapolei,HI","555 Farrington Hwy, Kapolei,HI, (808) 674-9651"
-156.677,20.87187,"BurgerKing-Lahaina,HI","632 Front St, Lahaina,HI, (808) 667-6162"
-159.3786,21.9719,"BurgerKing-Lihue,HI","4440 Kukui Grove St, Lihue,HI, (808) 245-5335"
-158.00774,21.45322,"BurgerKing-Miliani Town,HI","95/1249 Meheula Pkwy, Miliani Town,HI, (808) 625-5711"
-157.95409,21.38807,"BurgerKing-Pearl City,HI","98/1214 Kaahumanu St, Pearl City,HI, (808) 487-5050"
-157.94966,21.35347,"BurgerKing-Pearl Harbor,HI","Beeman Ctr, Pearl Harbor,HI, (808) 423-9523"
-158.0585567,21.4839938,"BurgerKing-Schofield Barracks,HI","Bldg 2606, Schofield Barracks,HI, (808) 655-6208"
-158.0621413,21.4943713,"BurgerKing-Schofield Barracks,HI","Cadet Sheridan St Bldg 694, Schofield Barracks,HI, (808) 237-4502"
-158.18465,21.43542,"BurgerKing-Waianae,HI","86/120 Farrington Hwy, Waianae,HI, (808) 696-8000"
-157.823602,21.2732378,"BurgerKing-Waikiki,HI","2526 Kalakaua Blvd, Waikiki,HI, (808) 924-8364"
